ID,Level,Subject,Project_Title,Description
1,1,English,The Noir Pivot,Rewrite a classic fairy tale as a 1940s noir detective story.
2,1,English,Inedible Reviews,Write a restaurant review for a place that only serves inedible objects.
3,1,English,Olympic Mundanity,Narrate a mundane task (like brushing teeth) as if it were an Olympic sport.
4,2,English,Fridge Manifesto,Write a letter from a refrigerator to the owner complaining about the light.
5,2,English,Corporate Pirate,Genre Mashup: A pirate captain trying to lead a corporate board meeting.
6,1,Math,Woodworking Pivot,Recalculate a furniture blueprint for 1/4 scale using ratios.
7,1,Math,Inflation Simulation,Adjust a 1990 grocery list prices for 2024 inflation rates.
8,1,Math,RPG Level Up,Create a balanced XP table for a game character reaching level 50.
9,2,Math,Superhero Stats,Design a character where Power + Speed + Logic must equal exactly 100.
10,2,Math,Optimized Route,Map the shortest path between 5 local landmarks using coordinate geometry.
