Food Item,Category,High Amino Acid Focus,Best Complementary Pairing
Hemp Hearts,Seeds,Lysine and Methionine,Oats or Quinoa
Pumpkin Seeds,Seeds,Valine and Tryptophan,Buckwheat or Rice
Sunflower Seeds,Seeds,Phenylalanine and Valine,Quinoa or Oats
Chia Seeds,Seeds,"Methionine and Cysteine",Almond or Walnut Butter
Ground Flaxseed,Seeds,Threonine and Valine,Oats or Amaranth
Quinoa,Pseudograins,Lysine and Isoleucine,Hemp Hearts or Pumpkin Seeds
Amaranth,Pseudograins,Lysine and Valine,Sunflower Seeds
Buckwheat,Pseudograins,Lysine and Threonine,Pumpkin Seeds or Hemp Hearts
Rolled Oats,Grains,Methionine and Valine,Hemp Hearts or Chia
Wild Rice,Grains,Threonine and Valine,Pumpkin Seeds
Nutritional Yeast,Superfoods,Complete EAA Profile,Quinoa or Vegetables
Spirulina,Superfoods,Valine and Leucine,Oats or Seeds
Almonds,Nuts,Phenylalanine and Threonine,Sesame or Flax
Walnuts,Nuts,"Methionine and Tryptophan",Oats
Pistachios,Nuts,Lysine and Valine,Quinoa
Cashews,Nuts,Valine and Threonine,Hemp Hearts
Brazil Nuts,Nuts,"Methionine and Cysteine",Seeds
Pine Nuts,Nuts,Lysine and Phenylalanine,Spinach or Greens
Pecans,Nuts,Threonine and Valine,Oats
Hazelnuts,Nuts,Phenylalanine and Lysine,Buckwheat
Tahini (Sesame Paste),"Seeds / Pastes","Methionine and Threonine",Nutritional Yeast or Greens
Poppy Seeds,Seeds,Valine and Isoleucine,Oats
Spinach,Vegetables,Threonine and Phenylalanine,Hemp Hearts or Pumpkin Seeds
Broccoli,Vegetables,Lysine and Valine,Quinoa or Almonds
Brussels Sprouts,Vegetables,Threonine and Lysine,Walnuts or Pecans
Asparagus,Vegetables,Valine and Isoleucine,Sunflower Seeds
Kale,Vegetables,Threonine and Phenylalanine,Pumpkin Seeds
Mushrooms (Crimini),Fungi,Valine and Threonine,Quinoa or Wild Rice
Artichokes,Vegetables,Lysine and Threonine,Almonds
Cauliflower,Vegetables,Phenylalanine and Valine,Hemp Hearts
Sweet Potato,Vegetables,Threonine and Lysine,Pecans or Walnuts
Cabbage,Vegetables,Lysine and Valine,Sunflower Seeds
Avocado,"Fruits / Fats",Threonine and Valine,Hemp Hearts
Chlorella,Superfoods,Complete EAA Profile,Seeds
Spelt,Grains,Methionine and Phenylalanine,Pumpkin Seeds
Teff,Pseudograins,Lysine and Valine,Hemp Seeds
Millet,Grains,Methionine and Threonine,Amaranth
Nori (Seaweed),Sea Vegetables,Lysine and Methionine,Quinoa
Pumpkin Seed Butter,Seed Butters,Valine and Tryptophan,Oats
Almond Butter,Nut Butters,Phenylalanine and Threonine,Chia or Flax
